anio,seccion,delito,modalidad_comision,cuest_modulo_envipe_7,cuest_modulo_envipe2025_2,estimacion,porcentaje,total_delito
2015,SECCIÓN IV. FRAUDE,Fraude,Por internet/correo electrónico,4.1 ¿Qué tipo de fraude fue?,NA,40459,1.2545,3225165
2015,SECCIÓN IV. FRAUDE,Fraude,Otro,4.1 ¿Qué tipo de fraude fue?,NA,28457,0.8823,3225165
2015,SECCIÓN IV. FRAUDE,Fraude,No especificado,4.1 ¿Qué tipo de fraude fue?,NA,29718,0.9214,3225165
2015,SECCIÓN V. EXTORSIÓN,Extorsión,Telefónica,5.1 ¿La extorsión fue...?,NA,6677177,94.0331,7100878
2015,SECCIÓN V. EXTORSIÓN,Extorsión,Laboral,5.1 ¿La extorsión fue...?,NA,26780,0.3771,7100878
2015,SECCIÓN V. EXTORSIÓN,Extorsión,Por internet/correo electrónico,5.1 ¿La extorsión fue...?,NA,2318,0.0326,7100878
2015,SECCIÓN V. EXTORSIÓN,Extorsión,En la calle,5.1 ¿La extorsión fue...?,NA,213176,3.0021,7100878
2015,SECCIÓN V. EXTORSIÓN,Extorsión,En negocio propio o familiar,5.1 ¿La extorsión fue...?,NA,40488,0.5702,7100878
2015,SECCIÓN V. EXTORSIÓN,Extorsión,Cobro de piso,5.1 ¿La extorsión fue...?,NA,27611,0.3888,7100878
2015,SECCIÓN V. EXTORSIÓN,Extorsión,Otro,5.1 ¿La extorsión fue...?,NA,67856,0.9556,7100878
2015,SECCIÓN V. EXTORSIÓN,Extorsión,No especificado,5.1 ¿La extorsión fue...?,NA,45472,0.6404,7100878
2016,SECCIÓN IV. FRAUDE,Fraude,Pago por un servicio/producto no entregado (al consumidor),4.1 ¿Qué tipo de fraude fue?,NA,1683733,43.1049,3906132
2016,SECCIÓN IV. FRAUDE,Fraude,Cheque falso o sin fondos,4.1 ¿Qué tipo de fraude fue?,NA,28339,0.7255,3906132
2016,SECCIÓN IV. FRAUDE,Fraude,Dinero falso,4.1 ¿Qué tipo de fraude fue?,NA,734872,18.8133,3906132
2016,SECCIÓN IV. FRAUDE,Fraude,Tarjeta de débito o crédito,4.1 ¿Qué tipo de fraude fue?,NA,1304484,33.3958,3906132
2016,SECCIÓN IV. FRAUDE,Fraude,Por internet/correo electrónico,4.1 ¿Qué tipo de fraude fue?,NA,59407,1.5209,3906132
2016,SECCIÓN IV. FRAUDE,Fraude,Otro,4.1 ¿Qué tipo de fraude fue?,NA,29041,0.7435,3906132
2016,SECCIÓN IV. FRAUDE,Fraude,No especificado,4.1 ¿Qué tipo de fraude fue?,NA,66256,1.6962,3906132
2016,SECCIÓN V. EXTORSIÓN,Extorsión,Telefónica,5.1 ¿La extorsión fue...?,NA,7170019,95.556,7503477
2016,SECCIÓN V. EXTORSIÓN,Extorsión,Laboral,5.1 ¿La extorsión fue...?,NA,29811,0.3973,7503477
2016,SECCIÓN V. EXTORSIÓN,Extorsión,Por internet/correo electrónico,5.1 ¿La extorsión fue...?,NA,9217,0.1228,7503477
2016,SECCIÓN V. EXTORSIÓN,Extorsión,En la calle,5.1 ¿La extorsión fue...?,NA,156105,2.0804,7503477
2016,SECCIÓN V. EXTORSIÓN,Extorsión,En negocio propio o familiar,5.1 ¿La extorsión fue...?,NA,55688,0.7422,7503477
2016,SECCIÓN V. EXTORSIÓN,Extorsión,Cobro de piso,5.1 ¿La extorsión fue...?,NA,19403,0.2586,7503477
