zip_file,dbf_file,field_name,field_type,field_length,field_decimals
base_de_datos_envipe_2011_dbf.zip,tmod_vic.DBF,BP5_3,C,1,0
base_de_datos_envipe_2011_dbf.zip,tmod_vic.DBF,BP5_4,C,1,0
base_de_datos_envipe_2011_dbf.zip,tmod_vic.DBF,BP6_1,C,1,0
base_de_datos_envipe_2011_dbf.zip,tmod_vic.DBF,BP7_1,C,1,0
base_de_datos_envipe_2011_dbf.zip,tmod_vic.DBF,BP7_2,C,1,0
base_de_datos_envipe_2011_dbf.zip,tmod_vic.DBF,EST,C,3,0
base_de_datos_envipe_2011_dbf.zip,tmod_vic.DBF,UPM,C,5,0
base_de_datos_envipe_2011_dbf.zip,tmod_vic.DBF,CIUDAD,C,2,0
base_de_datos_envipe_2011_dbf.zip,tmod_vic.DBF,DOM,C,1,0
base_de_datos_envipe_2011_dbf.zip,tmod_vic.DBF,FAC_DEL,C,6,0
base_de_datos_envipe_2012_dbf.zip,Tmod_Vic.DBF,CONTROL,C,6,0
base_de_datos_envipe_2012_dbf.zip,Tmod_Vic.DBF,VIV_SEL,C,2,0
base_de_datos_envipe_2012_dbf.zip,Tmod_Vic.DBF,HOGAR,C,1,0
base_de_datos_envipe_2012_dbf.zip,Tmod_Vic.DBF,ND_TIPO,C,1,0
base_de_datos_envipe_2012_dbf.zip,Tmod_Vic.DBF,BPCOD,C,2,0
base_de_datos_envipe_2012_dbf.zip,Tmod_Vic.DBF,R_SEL,C,2,0
base_de_datos_envipe_2012_dbf.zip,Tmod_Vic.DBF,BP1_1,C,2,0
base_de_datos_envipe_2012_dbf.zip,Tmod_Vic.DBF,BP1_2C,C,2,0
base_de_datos_envipe_2012_dbf.zip,Tmod_Vic.DBF,BP1_3C,C,3,0
base_de_datos_envipe_2012_dbf.zip,Tmod_Vic.DBF,BP1_4,C,1,0
base_de_datos_envipe_2012_dbf.zip,Tmod_Vic.DBF,BP1_5,C,1,0
base_de_datos_envipe_2012_dbf.zip,Tmod_Vic.DBF,BP1_6,C,1,0
base_de_datos_envipe_2012_dbf.zip,Tmod_Vic.DBF,BP1_7,C,1,0
base_de_datos_envipe_2012_dbf.zip,Tmod_Vic.DBF,BP1_8,C,1,0
base_de_datos_envipe_2012_dbf.zip,Tmod_Vic.DBF,BP1_9,C,1,0
base_de_datos_envipe_2012_dbf.zip,Tmod_Vic.DBF,BP1_10_1,C,2,0
base_de_datos_envipe_2012_dbf.zip,Tmod_Vic.DBF,BP1_10_2,C,2,0
base_de_datos_envipe_2012_dbf.zip,Tmod_Vic.DBF,BP1_11,C,1,0
base_de_datos_envipe_2012_dbf.zip,Tmod_Vic.DBF,BP1_12_1,C,1,0
base_de_datos_envipe_2012_dbf.zip,Tmod_Vic.DBF,BP1_12_2,C,1,0
base_de_datos_envipe_2012_dbf.zip,Tmod_Vic.DBF,BP1_12_3,C,1,0
base_de_datos_envipe_2012_dbf.zip,Tmod_Vic.DBF,BP1_12_4,C,1,0
base_de_datos_envipe_2012_dbf.zip,Tmod_Vic.DBF,BP1_12_5,C,1,0
base_de_datos_envipe_2012_dbf.zip,Tmod_Vic.DBF,BP1_13,C,1,0
base_de_datos_envipe_2012_dbf.zip,Tmod_Vic.DBF,BP1_14_1,C,1,0
base_de_datos_envipe_2012_dbf.zip,Tmod_Vic.DBF,BP1_14_2,C,1,0
base_de_datos_envipe_2012_dbf.zip,Tmod_Vic.DBF,BP1_14_3,C,1,0
base_de_datos_envipe_2012_dbf.zip,Tmod_Vic.DBF,BP1_14_4,C,1,0
base_de_datos_envipe_2012_dbf.zip,Tmod_Vic.DBF,BP1_14_9,C,1,0
