Anio,Delito,Modalidad,Delitos_total,Absolutos,Porcentaje
2017,Amenazas,Contacto presencial,"2,837,151",0,0
2017,Amenazas,Otro,"2,837,151",0,0
2017,Hostigamiento,Internet/medios electrónicos,"1,244,240",0,0
2017,Hostigamiento,Llamada telefónica,"1,244,240",0,0
2017,Hostigamiento,Contacto presencial,"1,244,240",0,0
2017,Hostigamiento,Otro,"1,244,240",0,0
2018,Fraude,Internet/medios electrónicos,"4,716,073",0,0
2018,Fraude,Llamada telefónica,"4,716,073",0,0
2018,Fraude,Contacto presencial,"4,716,073",0,0
2018,Fraude,Otro,"4,716,073",0,0
2018,Extorsion,Internet/medios electrónicos,"5,716,346",0,0
2018,Extorsion,Llamada telefónica,"5,716,346",0,0
2018,Extorsion,Contacto presencial,"5,716,346",0,0
2018,Extorsion,Otro,"5,716,346",0,0
2018,Amenazas,Internet/medios electrónicos,"2,842,523",0,0
2018,Amenazas,Llamada telefónica,"2,842,523",0,0
2018,Amenazas,Contacto presencial,"2,842,523",0,0
2018,Amenazas,Otro,"2,842,523",0,0
2018,Hostigamiento,Internet/medios electrónicos,"1,322,218",0,0
2018,Hostigamiento,Llamada telefónica,"1,322,218",0,0
2018,Hostigamiento,Contacto presencial,"1,322,218",0,0
2018,Hostigamiento,Otro,"1,322,218",0,0
2019,Fraude,Internet/medios electrónicos,"4,576,819",0,0
2019,Fraude,Llamada telefónica,"4,576,819",0,0
2019,Fraude,Contacto presencial,"4,576,819",0,0
2019,Fraude,Otro,"4,576,819",0,0
2019,Extorsion,Internet/medios electrónicos,"4,617,275",0,0
2019,Extorsion,Llamada telefónica,"4,617,275",0,0
2019,Extorsion,Contacto presencial,"4,617,275",0,0
2019,Extorsion,Otro,"4,617,275",0,0
2019,Amenazas,Internet/medios electrónicos,"2,779,312",0,0
2019,Amenazas,Llamada telefónica,"2,779,312",0,0
2019,Amenazas,Contacto presencial,"2,779,312",0,0
2019,Amenazas,Otro,"2,779,312",0,0
2019,Hostigamiento,Internet/medios electrónicos,"2,374,861",0,0
2019,Hostigamiento,Llamada telefónica,"2,374,861",0,0
2019,Hostigamiento,Contacto presencial,"2,374,861",0,0
2019,Hostigamiento,Otro,"2,374,861",0,0
2020,Fraude,Internet/medios electrónicos,"5,332,430",0,0
2020,Fraude,Llamada telefónica,"5,332,430",0,0
2020,Fraude,Contacto presencial,"5,332,430",0,0
2020,Fraude,Otro,"5,332,430",0,0
2020,Extorsion,Internet/medios electrónicos,"4,660,898",0,0
2020,Extorsion,Llamada telefónica,"4,660,898",0,0
2020,Extorsion,Contacto presencial,"4,660,898",0,0
2020,Extorsion,Otro,"4,660,898",0,0
2020,Amenazas,Internet/medios electrónicos,"2,672,001",0,0
2020,Amenazas,Llamada telefónica,"2,672,001",0,0
2020,Amenazas,Contacto presencial,"2,672,001",0,0
2020,Amenazas,Otro,"2,672,001",0,0
2020,Hostigamiento,Internet/medios electrónicos,"1,541,122",0,0
2020,Hostigamiento,Llamada telefónica,"1,541,122",0,0
2020,Hostigamiento,Contacto presencial,"1,541,122",0,0
2020,Hostigamiento,Otro,"1,541,122",0,0
2021,Fraude,Internet/medios electrónicos,"5,395,988",0,0
2021,Fraude,Llamada telefónica,"5,395,988",0,0
2021,Fraude,Contacto presencial,"5,395,988",0,0
2021,Fraude,Otro,"5,395,988",0,0
2021,Extorsion,Internet/medios electrónicos,"4,910,206",0,0
2021,Extorsion,Llamada telefónica,"4,910,206",0,0
2021,Extorsion,Contacto presencial,"4,910,206",0,0
2021,Extorsion,Otro,"4,910,206",0,0
2021,Amenazas,Internet/medios electrónicos,"2,578,845",0,0
2021,Amenazas,Llamada telefónica,"2,578,845",0,0
2021,Amenazas,Contacto presencial,"2,578,845",0,0
2021,Amenazas,Otro,"2,578,845",0,0
2021,Hostigamiento,Internet/medios electrónicos,"1,998,457",0,0
2021,Hostigamiento,Llamada telefónica,"1,998,457",0,0
2021,Hostigamiento,Contacto presencial,"1,998,457",0,0
2021,Hostigamiento,Otro,"1,998,457",0,0
2022,Fraude,Internet/medios electrónicos,"5,394,290",0,0
2022,Fraude,Llamada telefónica,"5,394,290",0,0
2022,Fraude,Contacto presencial,"5,394,290",0,0
2022,Fraude,Otro,"5,394,290",0,0
2022,Extorsion,Internet/medios electrónicos,"4,726,724",0,0
2022,Extorsion,Llamada telefónica,"4,726,724",0,0
2022,Extorsion,Contacto presencial,"4,726,724",0,0
2022,Extorsion,Otro,"4,726,724",0,0
2022,Amenazas,Internet/medios electrónicos,"2,757,624",0,0
2022,Amenazas,Llamada telefónica,"2,757,624",0,0
2022,Amenazas,Contacto presencial,"2,757,624",0,0
2022,Amenazas,Otro,"2,757,624",0,0
2022,Hostigamiento,Internet/medios electrónicos,"1,793,600",0,0
2022,Hostigamiento,Llamada telefónica,"1,793,600",0,0
2022,Hostigamiento,Contacto presencial,"1,793,600",0,0
2022,Hostigamiento,Otro,"1,793,600",0,0
2023,Fraude,Internet/medios electrónicos,"6,547,223",0,0
2023,Fraude,Llamada telefónica,"6,547,223",0,0
2023,Fraude,Contacto presencial,"6,547,223",0,0
2023,Fraude,Otro,"6,547,223",0,0
2023,Extorsion,Internet/medios electrónicos,"4,902,122",0,0
2023,Extorsion,Llamada telefónica,"4,902,122",0,0
2023,Extorsion,Contacto presencial,"4,902,122",0,0
2023,Extorsion,Otro,"4,902,122",0,0
2023,Amenazas,Internet/medios electrónicos,"3,146,232",0,0
2023,Amenazas,Llamada telefónica,"3,146,232",0,0
2023,Amenazas,Contacto presencial,"3,146,232",0,0
2023,Amenazas,Otro,"3,146,232",0,0
2023,Hostigamiento,Internet/medios electrónicos,"2,285,064",0,0
2023,Hostigamiento,Llamada telefónica,"2,285,064",0,0
2023,Hostigamiento,Contacto presencial,"2,285,064",0,0
2023,Hostigamiento,Otro,"2,285,064",0,0
2024,Fraude,Internet/medios electrónicos,"7,255,689",5350580,73.743238
2024,Fraude,Llamada telefónica,"7,255,689",626605,8.636051
2024,Fraude,Contacto presencial,"7,255,689",1285453,17.716484
2024,Fraude,Otro,"7,255,689",56078,0.772883
2024,Extorsion,Internet/medios electrónicos,"5,719,981",343963,6.013359
2024,Extorsion,Llamada telefónica,"5,719,981",4895851,85.592085
2024,Extorsion,Contacto presencial,"5,719,981",523656,9.154856
2024,Extorsion,Otro,"5,719,981",12459,0.217815
2024,Amenazas,Internet/medios electrónicos,"4,485,971",699379,15.590359
2024,Amenazas,Llamada telefónica,"4,485,971",1103824,24.606133
2024,Amenazas,Contacto presencial,"4,485,971",2757727,61.474472
2024,Amenazas,Otro,"4,485,971",35787,0.797754
2024,Hostigamiento,Internet/medios electrónicos,"2,237,310",59181,2.645186
2024,Hostigamiento,Llamada telefónica,"2,237,310",21789,0.973893
2024,Hostigamiento,Contacto presencial,"2,237,310",2173448,97.14559
2024,Hostigamiento,Otro,"2,237,310",8646,0.386446
