año,delito,medio_etiqueta,registros,estimacion
2021,Fraude bancario,Teléfono (sin detalle),2374,2249707.0
2021,Fraude bancario,Correo / mensajería física,244,446530.0
2021,Fraude bancario,Internet / redes sociales,227,215976.0
2021,Fraude bancario,Presencial (cara a cara),148,183583.0
2021,Fraude bancario,Otro medio,99,85278.0
2021,Fraude bancario,Sin información,14,19579.0
2021,Hostigamiento / abuso sexual,Presencial (cara a cara),1381,1541122.0
2021,Lesiones físicas,Presencial (cara a cara),949,928471.0
2021,Otro delito,Presencial (cara a cara),123,115573.0
2021,Robo / asalto en calle o transporte,Presencial (cara a cara),4554,6230798.0
2021,Robo a casa habitación,No aplica (delito de hogar),4552,1698038.0
2021,Robo de accesorios de vehículo,No aplica (delito de hogar),5769,2455282.0
2021,Robo en otra forma,Presencial (cara a cara),1535,1397146.0
2021,Robo total de vehículo,No aplica (delito de hogar),997,473640.0
2021,Secuestro,Presencial (cara a cara),63,54440.0
2021,Vandalismo / daño a propiedad,No aplica (delito de hogar),4515,1807549.0
2021,Violación sexual,Presencial (cara a cara),95,79364.0
2022,Amenazas,Presencial (cara a cara),2611,2578845.0
2022,Extorsión,Teléfono — llamada de voz,4203,4432202.0
2022,Extorsión,Sin información,339,420506.0
2022,Extorsión,Presencial (cara a cara),33,25357.0
2022,Extorsión,Internet / redes sociales,31,24434.0
2022,Extorsión,Presencial + seguimiento digital,6,7707.0
2022,Fraude al consumidor,Presencial (cara a cara),2262,2215722.0
2022,Fraude bancario,Teléfono (sin detalle),2332,2435274.0
2022,Fraude bancario,Correo / mensajería física,233,343550.0
2022,Fraude bancario,Internet / redes sociales,211,201576.0
2022,Fraude bancario,Presencial (cara a cara),131,126305.0
2022,Fraude bancario,Otro medio,66,71371.0
2022,Fraude bancario,Sin información,3,2190.0
2022,Hostigamiento / abuso sexual,Presencial (cara a cara),1431,1998457.0
2022,Lesiones físicas,Presencial (cara a cara),939,1005025.0
2022,Otro delito,Presencial (cara a cara),101,73970.0
2022,Robo / asalto en calle o transporte,Presencial (cara a cara),4019,6012888.0
2022,Robo a casa habitación,No aplica (delito de hogar),4439,1689483.0
2022,Robo de accesorios de vehículo,No aplica (delito de hogar),5597,2560965.0
2022,Robo en otra forma,Presencial (cara a cara),1521,1273791.0
2022,Robo total de vehículo,No aplica (delito de hogar),965,469082.0
2022,Secuestro,Presencial (cara a cara),58,49197.0
2022,Vandalismo / daño a propiedad,No aplica (delito de hogar),4514,1906423.0
2022,Violación sexual,Presencial (cara a cara),99,106955.0
2023,Amenazas,Presencial (cara a cara),2778,2757624.0
2023,Extorsión,Teléfono — llamada de voz,4116,4258130.0
2023,Extorsión,Sin información,399,384459.0
2023,Extorsión,Presencial (cara a cara),44,38674.0
2023,Extorsión,Internet / redes sociales,44,32512.0
2023,Extorsión,Presencial + seguimiento digital,13,12949.0
2023,Fraude al consumidor,Presencial (cara a cara),2299,2204174.0
2023,Fraude bancario,Teléfono (sin detalle),2452,2441178.0
2023,Fraude bancario,Correo / mensajería física,185,289782.0
2023,Fraude bancario,Internet / redes sociales,199,243215.0
2023,Fraude bancario,Presencial (cara a cara),154,157608.0
2023,Fraude bancario,Otro medio,50,54316.0
2023,Fraude bancario,Sin información,6,4017.0
2023,Hostigamiento / abuso sexual,Presencial (cara a cara),1538,1793600.0
2023,Lesiones físicas,Presencial (cara a cara),908,1017768.0
2023,Otro delito,Presencial (cara a cara),150,122904.0
2023,Robo / asalto en calle o transporte,Presencial (cara a cara),3819,5318660.0
2023,Robo a casa habitación,No aplica (delito de hogar),4134,1593137.0
2023,Robo de accesorios de vehículo,No aplica (delito de hogar),5133,2244101.0
2023,Robo en otra forma,Presencial (cara a cara),1471,1267294.0
2023,Robo total de vehículo,No aplica (delito de hogar),925,446905.0
2023,Secuestro,Presencial (cara a cara),65,57030.0
2023,Vandalismo / daño a propiedad,No aplica (delito de hogar),4147,1774162.0
2023,Violación sexual,Presencial (cara a cara),106,94241.0
2024,Amenazas,Presencial (cara a cara),2866,3146232.0
2024,Extorsión,Teléfono — llamada de voz,3893,4194543.0
2024,Extorsión,Sin información,442,571062.0
2024,Extorsión,Presencial (cara a cara),66,65529.0
2024,Extorsión,Internet / redes sociales,43,48198.0
2024,Extorsión,Presencial + seguimiento digital,24,22790.0
2024,Fraude al consumidor,Presencial (cara a cara),2788,2959404.0
2024,Fraude bancario,Teléfono (sin detalle),2556,2663873.0
2024,Fraude bancario,Internet / redes sociales,283,329826.0
2024,Fraude bancario,Correo / mensajería física,166,283480.0
2024,Fraude bancario,Presencial (cara a cara),202,242737.0
2024,Fraude bancario,Otro medio,66,60149.0
2024,Fraude bancario,Sin información,5,7754.0
2024,Hostigamiento / abuso sexual,Presencial (cara a cara),1521,2285064.0
2024,Lesiones físicas,Presencial (cara a cara),1256,1508588.0
2024,Otro delito,Presencial (cara a cara),154,162768.0
2024,Robo / asalto en calle o transporte,Presencial (cara a cara),3951,6136712.0
2024,Robo a casa habitación,No aplica (delito de hogar),4084,1637965.0
2024,Robo de accesorios de vehículo,No aplica (delito de hogar),5712,2741397.0
2024,Robo en otra forma,Presencial (cara a cara),1608,1513412.0
2024,Robo total de vehículo,No aplica (delito de hogar),1035,532701.0
2024,Secuestro,Presencial (cara a cara),67,72559.0
2024,Vandalismo / daño a propiedad,No aplica (delito de hogar),4732,2139424.0
2024,Violación sexual,Presencial (cara a cara),94,96946.0
2025,Amenazas,Presencial (cara a cara),3942,4485971.0
2025,Extorsión,Presencial (cara a cara),3454,3727459.0
2025,Extorsión,Internet / redes sociales,935,982361.0
2025,Extorsión,Teléfono — llamada de voz,514,547270.0
2025,Extorsión,Presencial + seguimiento digital,386,414965.0
2025,Extorsión,Teléfono — SMS / WhatsApp,45,47926.0
2025,Fraude al consumidor,Presencial (cara a cara),3070,3243646.0
2025,Fraude bancario,Teléfono (sin detalle),2967,3100032.0
2025,Fraude bancario,Internet / redes sociales,323,351065.0
2025,Fraude bancario,Presencial (cara a cara),247,268168.0
2025,Fraude bancario,Correo / mensajería física,169,224843.0
2025,Fraude bancario,Otro medio,42,53559.0
2025,Fraude bancario,Sin información,6,14376.0
2025,Hostigamiento / abuso sexual,Presencial (cara a cara),1606,2237310.0
2025,Lesiones físicas,Presencial (cara a cara),1316,1523988.0
2025,Otro delito,Presencial (cara a cara),217,250390.0
2025,Robo / asalto en calle o transporte,Presencial (cara a cara),4014,5750434.0
2025,Robo a casa habitación,No aplica (delito de hogar),3909,1535043.0
2025,Robo de accesorios de vehículo,No aplica (delito de hogar),5782,2686135.0
2025,Robo en otra forma,Presencial (cara a cara),1298,1236012.0
2025,Robo total de vehículo,No aplica (delito de hogar),1028,526230.0
2025,Secuestro,Presencial (cara a cara),76,75698.0
2025,Vandalismo / daño a propiedad,No aplica (delito de hogar),4799,2145654.0
2025,Violación sexual,Presencial (cara a cara),135,167340.0
